complaint_id,category,priority,reason,flag
AM-202401,Other,Standard,Classified as Other because the description containing 'Tarmac' did not match specific known categories.,NEEDS_REVIEW
AM-202402,Heat Hazard,Standard,Classified as Heat Hazard because the description contains the word 'temperature'.,
AM-202405,Other,Standard,Classified as Other because the description containing 'Dead' did not match specific known categories.,NEEDS_REVIEW
AM-202406,Heat Hazard,Standard,Classified as Heat Hazard because the description contains the word 'heat'.,
AM-202407,Other,Urgent,Classified as Other because the description containing 'Broken' did not match specific known categories.,NEEDS_REVIEW
AM-202410,Pothole,Standard,Classified as Pothole because the description contains the word 'pothole'.,
AM-202414,Other,Standard,Classified as Other because the description containing 'Residential' did not match specific known categories.,NEEDS_REVIEW
AM-202417,Waste,Standard,Classified as Waste because the description contains the word 'waste'.,
AM-202421,Noise,Standard,Classified as Noise because the description contains the word 'music'.,
AM-202424,Road Damage,Standard,Classified as Road Damage because the description contains the word 'road'.,
AM-202429,Heat Hazard,Standard,Classified as Heat Hazard because the description contains the word 'temperature'.,
AM-202431,Road Damage,Standard,Classified as Road Damage because the description contains the word 'road'.,
AM-202435,Road Damage,Standard,Classified as Road Damage because the description contains the word 'road'.,
AM-202444,Waste,Standard,Classified as Waste because the description contains the word 'waste'.,
AM-202445,Heat Hazard,Standard,Classified as Heat Hazard because the description contains the word 'sun'.,
