complaint_id,category,priority,reason,flag
GH-202401,Flooding,Urgent,Classified as Flooding because the description contains the word 'flood'.,
GH-202402,Flooding,Standard,Classified as Flooding because the description contains the word 'flood'.,
GH-202406,Flooding,Standard,Classified as Flooding because the description contains the word 'water'.,
GH-202407,Drain Blockage,Standard,Classified as Drain Blockage because the description contains the word 'drain'.,
GH-202410,Pothole,Standard,Classified as Pothole because the description contains the word 'pothole'.,
GH-202411,Pothole,Urgent,Classified as Pothole because the description contains the word 'pothole'.,
GH-202412,Pothole,Urgent,Classified as Pothole because the description contains the word 'pothole'.,
GH-202417,Waste,Standard,Classified as Waste because the description contains the word 'waste'.,
GH-202420,Other,Standard,Classified as Other because the description containing 'Construction' did not match specific known categories.,NEEDS_REVIEW
GH-202422,Pothole,Urgent,Classified as Pothole because the description contains the word 'crater'.,
GH-202424,Flooding,Standard,Classified as Flooding because the description contains the word 'flood'.,
GH-202428,Waste,Standard,Classified as Waste because the description contains the word 'waste'.,
GH-202432,Other,Standard,Classified as Other because the description containing '24hr' did not match specific known categories.,NEEDS_REVIEW
GH-202448,Flooding,Standard,Classified as Flooding because the description contains the word 'flood'.,
GH-202438,Flooding,Standard,Classified as Flooding because the description contains the word 'water'.,
