complaint_id,category,priority,reason,flag
KM-202401,Heritage Damage,Standard,Classified as Heritage Damage because the description contains the word 'heritage'.,
KM-202402,Road Damage,Standard,Classified as Road Damage because the description contains the word 'road'.,
KM-202405,Other,Standard,Classified as Other because the description containing 'Wedding' did not match specific known categories.,NEEDS_REVIEW
KM-202409,Pothole,Standard,Classified as Pothole because the description contains the word 'pothole'.,
KM-202410,Pothole,Standard,Classified as Pothole because the description contains the word 'pothole'.,
KM-202411,Pothole,Standard,Classified as Pothole because the description contains the word 'pothole'.,
KM-202415,Road Damage,Standard,Classified as Road Damage because the description contains the word 'road'.,
KM-202418,Waste,Standard,Classified as Waste because the description contains the word 'waste'.,
KM-202421,Other,Urgent,Classified as Other because the description containing 'Footpath' did not match specific known categories.,NEEDS_REVIEW
KM-202422,Road Damage,Standard,Classified as Road Damage because the description contains the word 'road'.,
KM-202426,Heritage Damage,Standard,Classified as Heritage Damage because the description contains the word 'heritage'.,
KM-202430,Road Damage,Standard,Classified as Road Damage because the description contains the word 'road'.,
KM-202434,Heritage Damage,Standard,Classified as Heritage Damage because the description contains the word 'heritage'.,
KM-202436,Streetlight,Standard,Classified as Streetlight because the description contains the word 'dark'.,
KM-202438,Heritage Damage,Standard,Classified as Heritage Damage because the description contains the word 'heritage'.,
