complaint_id,category,priority,reason,flag
PM-202401,Pothole,Standard,Classified as Pothole because the description contains the word 'pothole'.,
PM-202402,Pothole,Urgent,Classified as Pothole because the description contains the word 'pothole'.,
PM-202406,Flooding,Standard,Classified as Flooding because the description contains the word 'flood'.,
PM-202408,Flooding,Standard,Classified as Flooding because the description contains the word 'flood'.,
PM-202410,Streetlight,Standard,Classified as Streetlight because the description contains the word 'light'.,
PM-202411,Streetlight,Urgent,Classified as Streetlight because the description contains the word 'light'.,
PM-202413,Waste,Standard,Classified as Waste because the description contains the word 'garbage'.,
PM-202418,Noise,Standard,Classified as Noise because the description contains the word 'music'.,
PM-202419,Road Damage,Standard,Classified as Road Damage because the description contains the word 'road'.,
PM-202420,Other,Urgent,Classified as Other because the description containing 'Manhole' did not match specific known categories.,NEEDS_REVIEW
PM-202427,Flooding,Standard,Classified as Flooding because the description contains the word 'flood'.,
PM-202428,Other,Standard,Classified as Other because the description containing 'Dead' did not match specific known categories.,NEEDS_REVIEW
PM-202430,Streetlight,Standard,Classified as Streetlight because the description contains the word 'light'.,
PM-202433,Waste,Standard,Classified as Waste because the description contains the word 'waste'.,
PM-202446,Other,Urgent,Classified as Other because the description containing 'Footpath' did not match specific known categories.,NEEDS_REVIEW
